"FolderName","FileCount","LatestWriteTime","TotalSizeMB"
"55. 기상청 기후자료","80","24-02-14 수요일 오전 9:29:30","349.11"
"151. 도로공사 AI로드맵","79","24-02-13 화요일 오후 2:55:34","139.29"
"900. 타업체 제안서","79","21-02-12 금요일 오후 6:05:23","482.77"
"202501  한전 KPS","77","25-02-13 목요일 오후 5:59:33","507.57"
"39. 심사평가원","74","24-02-14 수요일 오후 2:21:19","189.47"
"202508. 인공지능 활용을 통한 과기정통부 행정의 생산성 및 효율성 강화 방안 연구","71","25-10-20 월요일 오전 11:37:55","620.3"
"53-2. 기상청통합관측망구축","60","24-07-05 금요일 오전 10:27:56","202.82"
"★★제안준비_생성폴더★★","58","25-08-25 월요일 오후 9:36:27","382.42"
"202405. NIA 초거대AI 활용지원","56","25-02-27 목요일 오후 5:55:57","130.53"
"48. 사회보장정보원","55","24-03-04 월요일 오전 11:20:36","342.81"
"176. AI기반의 e-감사시스템 구축 PMO 사업","48","24-02-08 목요일 오후 1:23:31","113.57"
"202508. 인공지능 활용을 통한 과기정통부 행정 강화(diskstation)","47","26-04-03 금요일 오후 3:18:54","242.54"
"03. 사업수행","44","24-05-31 금요일 오후 1:50:28","159.04"
"190. 생명존중희망재단","40","22-05-12 목요일 오후 4:35:34","321.29"
"45. 심평원 자보 BPR","34","24-02-14 수요일 오후 2:27:04","136.53"
"803. ▶입찰정보","31","24-04-15 월요일 오후 7:27:16","241.59"
"2025년 정부 R&D 사업 부처합동 설명회","30","25-01-24 금요일 오전 10:41:07","189.35"
"[2017-2018]","29","19-04-21 일요일 오후 10:59:53","106.05"
"202305. KAI 지원","25","26-04-10 금요일 오전 11:28:23","69.92"
"801. ▶사업개발","22","20-10-06 화요일 오후 6:15:08","164.6"
"2025년 감리사업","21","26-04-16 목요일 오후 8:14:00","141.7"
"00. 사업관리","20","25-03-31 월요일 오전 10:31:14","11.35"
"202310. 기상청 메타데이터관리체계","20","24-01-30 화요일 오후 1:48:15","74.09"
"감리분야","16","25-10-16 목요일 오후 2:00:23","17.56"
"202410. AI도입을 위한 실행과제 도출 및 개념검증 심층 컨설팅 용역","15","24-10-07 월요일 오후 8:17:58","33.26"
"Misc_BackUp","14","26-02-26 목요일 오후 3:10:34","2.66"
"2025. PoC 방법론","10","26-01-07 수요일 오전 9:11:23","5.92"
"2026년도 ax전환 사업 설명회","10","26-03-25 수요일 오후 1:40:28","34.71"
"[전문가(자문위원) pool]","9","26-03-20 금요일 오후 5:09:48","26.08"
"202603. 방위사업 관리등을 위한 생성형 AI 서비스 ISP","8","26-03-06 금요일 오후 9:33:24","46.43"
"01. 사업계획서","8","22-10-11 화요일 오후 2:11:43","0.27"
"2024년 견적준비","8","25-01-13 월요일 오후 9:30:20","14.26"
"방법론 종류","8","26-02-26 목요일 오후 3:12:21","19.29"
"202306. 한강홍수통제소 댐-하천 디지털트윈 물관리 플랫폼 구축","7","25-12-01 월요일 오후 1:07:06","10.95"
"202501. 기획재정부","6","25-10-16 목요일 오후 7:26:28","3.58"
"202412. 현대로템","6","24-12-27 금요일 오전 11:17:02","3.19"
"202507. SK AI","5","25-11-13 목요일 오후 4:23:12","23.08"
